en_us	pt_BR
You can let it all hang out.	Deixe-a mostrar seus sentimentos.
Beatin' around the bush.	Conversa fiada..
And you can chew it up, you can spit it out.	Você pode mastigá-la, E você pode cuspi-la.
You can let it all hang out.	Deixe-a mostrar seus sentimentos.
Beatin' around the bush.	Conversa fiada..
Because The Night	Porque a noite
Take me now baby here as I am.	Leve-me agora baby aqui como eu sou.
Hold me close, try and understand.	Segure-me perto, tente entender.
Desire is hunger is the fire I breathe.	O desejo é a fome é o fogo que eu respiro.
Love is a banquet on which we feed.	O amor é um banquete em que nos alimentamos.
Come on now try to understand.	Venha agora tente entender.
The way I feel when I'm in your hand.	A maneira como me sinto quando estou na sua mão.
Take my hand come undercover.	Pegue minha mão, venha disfarçado.
They can't hurt you now.	Eles não podem te machucar agora.
Can't hurt you now.	Não pode te machucar agora.
Can't hurt you now.	Não pode te machucar agora.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Have I doubt when I am alone.	Eu duvido quando estou sozinha.
Love is a ring on the thelephone.	O amor é um anel no thelephone.
Love is an angel disguised as lust.	O amor é um anjo disfarçado de luxúria.
Love is our bed until the morning comes.	O amor é a nossa cama até a manhã chegar.
Come on now try to understand.	Venha agora tente entender.
The way I feel under your command.	O jeito que me sinto sob seu comando.
Take my hands and the sun descends.	Pegue minhas mãos e o sol desce.
They can't touch you now.	Eles não podem te tocar agora.
Can't touch you now.	Não posso te tocar agora.
Can't touch you now.	Não posso te tocar agora.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Your love is here and now.	Seu amor está aqui e agora.
The vicious circle turns and burns without.	O círculo vicioso gira e queima sem.
Though I can not live forgive me now.	Embora eu não possa viver, perdoe-me agora.
The time has come to take this moment and.	Chegou a hora de aproveitar este momento e.
They can't hurt you now.	Eles não podem te machucar agora.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Because the night belongs to lovers.	Porque a noite pertence aos amantes.
Because the night belongs to us.	Porque a noite nos pertence.
Bedlam In Belgium	Balbúrdia Na Bélgica
Yeah, yeah.	Yeah, yeah.
The blood in my veins was runnin' right through my brain.	O sangue nas minhas veias corria direto através do meu cérebro.
There was a cop with a gun.	Havia um policial com uma arma.
Who was runnin' around insane.	Que estava correndo por aí, insano.
Three fifty arrests.	Cinquenta e três detenções.
No bullet proof vest.	Sem colete à prova de bala.
Now ain't that a shame.	Agora, não é vergonha.
We wanted to play.	Nós queríamos tocar.
Play for the crowd.	Tocar para a plateia.
Law said no way.	A lei disse não.
Cause you're on your way out.	Porque você está de saída.
Bedlam in Belgium.	Balbúrdia na Bélgica.
Bedlam in Belgium.	Balbúrdia na Bélgica.
The place was a jumpin'.	O lugar estava bombando.
And the booze was going down.	E a bebida estava acabando.
There's a curfew at ten.	Há um toque de recolher às dez.
And you been working overtime.	E você esteve trabalhando o tempo todo.
We don't play just for pay.	Nós não tocamos apenas por dinheiro.
So we'd like to stay.	Por isso, gostaríamos de ficar.
Stay just the same.	Ficar do mesmo jeito.
He gave me a crack in the back with his gun.	Ele me deu uma paulada nas costas com a sua arma.
Hurt me so bad I could feel the blood run.	Me machucou tanto que eu podia sentir o sangue escorrer.
Bedlam in belgium.	Balbúrdia na Bélgica.
It was bedlam in belgium.	Era uma balbúrdia na Bélgica.
Bedlam in belgium.	Balbúrdia na Bélgica.
Came for a good time and left on the run.	Veio para se divertir e saiu correndo.
Bedlam in Belgium, yeah.	Balbúrdia na Bélgica.
Who's to blame.	De quem é a culpa.
It's a shame.	É uma vergonha.
Bedlam.	Balbúrdia.
In Belgium.	Na Bélgica.
It was bedlam.	Era uma Balbúrdia.
Getting ready.	Se preparando.
Stayed on the stage cops in a rage.	Ficamos no palco, policias enfurecidos.
Crowd yelled for more it was war, war, war.	A multidão gritou por mais, era guerra, guerra, guerra.
Bedlam in belgium.	Balbúrdia na Bélgica.
It was bedlam in belgium.	Era uma balbúrdia na Bélgica.
Bedlam in belgium.	Balbúrdia na Bélgica.
Came for a good time and left on the run.	Veio para se divertir e saiu correndo.
Bedlam in belgium.	Balbúrdia na Bélgica.
It was bedlam (in Belgium).	Era uma balbúrdia (na Bélgica).
It was bedlam (in Belgium).	Era uma balbúrdia (na Bélgica).
It was bedlam.	Era uma balbúrdia.
And the law got the drop on.	E a lei caiu sobre.
Me.	Mim.
Big Gun	Pistola Grande
Riot on the radio.	Motim no rádio.
Pictures on the TV.	Retratos na TV.
Invader man take what he can.	O invasor leva o que pode.
Shootout on the silver screen.	Lançado para fora na tela prata.
Sticking 'em up and knocking 'em down.	Furando-o em acima e batendo-o em baixo.
Living out a fantasy.	Viver para fora de uma fantasia.
There's a bad man cruising around.	Há um homem mau que anda ao redor.
In a big black limousine.	Em uma limousine preta grande.
Don't let it be wrong.	Não o deixe ser errado.
Don't let it be right.	Não o deixe ser direito.
Get in his way.	Comece à sua maneira.
You're dead in his sights.	Você está inoperante em suas vistas.
Big gun.	Pistola grande.
Big gun number one.	Pistola grande número 1.
Big gun.	Pistola grande.
Big gun kick the hell out of you.	Pistola grande a livrou do inferno..
Terminators, Uzi makers.	Exterminadores, fabricantes de Uzi.
Shootin' up Hollywood.	Atirando-o acima de Hollywood.
Snakes alive with a .45.	Serpentes vivas com um 45.
Gettin' off and doing no good.	Desajeitados e não fazendo nada de bom.
If you ain't wise they'll cannibalise.	Se você não for sábio canibalizado.
Tear flesh off you.	Sua carne será devorada.
Classified lady killers.	Assassinas classificadas.
Preyin' in the human zoo.	Brincando no jardim zoológico humano.
They saddle you up.	Selam-no acima.
And take you to town.	E levamm você à cidade.
Better look out.	Melhor olhar para fora.
When he come around.	Quando vier ao redor.
(Show down).	Refrão (2ª estrofe).
Big gun.	Pistola Grande.
Big gun number one.	Pistola Grande, número 1.
Big gun, got a hot one.	Pistola grande, eu tenho um encontro.
Big gun, got a number one.	Pistola grande, eu tenho um número.
Big gun, loaded and cocked.	Pistola grande, carregada e engatilhada.
Big gun, hot hot hot.	Pistola grande, quente quente quente.
Got big gun, ready or not.	Pegue a pistola grande, apronta-se ou não.
Big gun, give it, give it a shot.	A pistola grande, dê-lhe, dê-lhe um tiro.
Terminator, Uzi makers.	Exterminadores, fabricantes de Uzi.
Regulators, gonna get you later.	Reguladores, já vão tarde.
Big gun kick the hell out of you.	Pistola grande a livrou do inferno!.
Big Jack	Grande Camarada
The steam is a burning,.	O vapor é uma queimadura,.
Workin' up and down the line,.	Trabalhando para cima e para baixo da linha,.
The pot is getting ready,.	O vaso está ficando pronto,.
He's been working it so hard,.	Ele tem trabalhado tão duro,.
When it comes to lovin',.	Quando se trata de amar,.
Big jack is on his way,.	O Grande Camarada está a caminho,.
Wink of satisfaction,.	Cheio de satisfação,.
His time is going on,.	Seu tempo está passando,.
I'm like a bad defender,.	Eu sou como um mau defensor,.
Smoking holy Joe,.	Fumando santo Joe,.
He's a big pretender, look out for jack,.	Ele é um grande impostor, cuidado com o camarada,.
He's on his way,.	Ele está em seu caminho,.
Big Jack, Big Jack,.	Grande Camarada, Grande Camarada,.
You know it's only natural, he gets you up to scratch,.	Você sabe que é absolutamente natural, ele te reduz a zero,.
Big Jack, Big Jack,.	Grande Camarada, Grande Camarada,.
You've got a reputation you really got the knack,.	Você tinha a reputação de que realmente tinha habilidade,.
Big Jack, Big Jack,.	Grande Camarada, Grande Camarada,.
He said that he's the only one who got a full sack,.	Ele disse que ele é o único que tem um saco cheio,.
Big Jack, look out Jack, he's always at your back..	Grande Camarada, cuidado camarada, ele está sempre na sua cola..
You never leave a dollar,.	Você nunca deixa um dólar,.
Racking up the balls,.	Torturando as bolas,.
You like to get it on fast,.	Você gosta de pegar rápido,.
Back there standing tall,.	Lá atrás de pé,.
When he hears the siren,.	Quando ele escuta a sirene,.
He's gonna put you on the racks,.	Ele vai te artomentar,.
He's got a bad reputation, climbing all over the bars.	Ele tem uma má reputação, escalando os bares.
Gonna press the flesh,.	Vai apertar na carne,.
Rockin' rollin' soldier,.	Rockin' rollin' soldado,.
He's the last of them all,.	Ele é o último de todos eles,.
Well tell jack, he's on his way,.	Bem diga camarada, ele está a caminho,.
Big Jack, Big Jack,.	Grande Camarada, Grande Camarada,.
You know it's only natural to get you up to scratch,.	Você sabe que é perfeitamente natural te reduzir a zero,.
Big Jack, Big Jack,.	Grande Camarada, Grande Camarada,.
Always in trouble got to turn the other way,.	Sempre com problemas tem que virar pro outro lado,.
Big Jack, Big Jack,.	Grande Camarada, Grande Camarada,.
Always like to party and he likes the girls to play,.	Sempre gostou de festa e de  as garotas para jogar,.
Big Jack, look out Jack, he's always at your back,.	Grande Camarada, cuidado camarada, ele está sempre à sua volta,.
Big Jack, Big Jack,.	Grande Camarada, Grande Camarada,.
You know it's only natural to get you up to scratch,.	Você sabe que é perfeitamente natural te reduzir a zero,.
Big Jack, Big Jack, you've got a reputation, really got the knack,.	Grande Camarada, Grande Camarada, você tinha uma reputação, realmente tinha a habilidade,.
Big Jack, Big Jack, he said he ain't the only one who got a big sack,.	Grande Camarada, Grande Camarada, ele disse que não é o único que tem um grande saco,.
Big Jack, lookout Jack, ain't no need to worry, he's always at your back.	Grande Camarada, cuidado camarada, não precisa se preocupar, ele está sempre à sua volta..
Black Ice	Gelo Negro
Well the devil may care.	Bem, o diabo deve se importar.
You toss 'em back and be a man.	Você foi mandado de volta e virou homem.
With the last time.	Pela ultima vez.
Black ice.	Gelo negro.
End of it all, end of the line.	O fim de tudo, o fim da linha.
End of the road.	O fim da estrada.
Uhh!.	Uhh!.
Black ice.	Gelo negro.
Black ice.	Gelo negro.
Come on and bleeding out the crowds.	Venha e machuque multidões.
We're watching all the women go.	Nós estamos assistindo todas as mulheres irem.
Many a mile I'll never take.	Varias milhas eu nunca irei.
I run for forty miles and come up runnin' late.	Eu corri por quarenta milhas e cheguei atrasado.
Don't you know I live it down.	Você não sabe eu vivo pra baixo.
When the devil come a callin' I aint gonna be around.	Quando o diabo chamar eu não vou estar por perto.
Black ice.	Gelo negro.
Black ice.	Gelo negro.
Black ice.	Gelo negro.
The devil come a callin' I aint gonna be around.	O diabo dá um chamado e eu não vou estar por perto.
Black ice.	Gelo negro.
Livin' long, livin' long.	Vivendo muito, vivendo muito.
Sleep all alone, you're gonna take it all.	Dormir completamente sozinho, você vai mudar isso tudo.
